OWNERSHIPCD,CAMERALABEL,IMAGEURL,VIDEOURL,WEBURL,LONGITUDE,LATITUDE,LOCATION
SDOT,Airport Way S & S Norfolk St,http://www.seattle.gov/trafficcams/images/Airport_Norfolk.jpg,rtmp://156.74.125.142:1935/live&file=Airport_Norfolk.stream,NULL,-122.28819,47.51369,"(47.51369, -122.28819)"
SDOT,Rainier Ave S & S Henderson St,http://www.seattle.gov/trafficcams/images/Rainier_Henderson.jpg,rtmp://156.74.125.146:1935/live&file=Rainier_Henderson.stream,http://www.seattle.gov/trafficcams/rainier_henderson.htm,-122.26989,47.52345,"(47.52345, -122.26989)"
SDOT,14th Ave S & S Cloverdale St,http://www.seattle.gov/trafficcams/images/14_Cloverdale.jpg,rtmp://156.74.125.142:1935/live&file=14_Cloverdale.stream,NULL,-122.31476,47.5264,"(47.52640, -122.31476)"
SDOT,Fauntleroy SW & SW Cloverdale St,http://www.seattle.gov/trafficcams/images/Fauntleroy_Cloverdale.jpg,rtmp://156.74.125.146:1935/live&file=Fauntleroy_Cloverdale.stream,NULL,-122.39281,47.52671,"(47.52671, -122.39281)"
SDOT,E Marginal Way S & 16th Ave S,http://www.seattle.gov/trafficcams/images/EMarg_16.jpg,rtmp://156.74.125.146:1935/live&file=EMarg_16.stream,NULL,-122.31321,47.53436,"(47.53436, -122.31321)"
WSDOT,SR-99 @ West Marginal Way,http://images.wsdot.wa.gov/nw/099vc02671.jpg,NULL,http://www.seattle.gov/trafficcams/sr99_westmarginal.htm,-122.33367,47.5365,"(47.53650, -122.33367)"
SDOT,MLK Way S & S Othello St - NS,http://www.seattle.gov/trafficcams/images/MLK_Othello.jpg,rtmp://156.74.125.146:1935/live&file=MLK_Othello.stream,http://www.seattle.gov/trafficcams/mlk_othello.htm,-122.28111,47.53689,"(47.53689, -122.28111)"
SDOT,MLK Way S & S Othello St - EW,http://www.seattle.gov/trafficcams/images/Othello_MLK.jpg,rtmp://156.74.125.146:1935/live&file=Othello_MLK.stream,http://www.seattle.gov/trafficcams/othello_mlk.htm,-122.28057,47.53709,"(47.53709, -122.28057)"
SDOT,Airport Way S & S Othello St,http://www.seattle.gov/trafficcams/images/Airport_Othello.jpg,rtmp://156.74.125.142:1935/live&file=Airport_Othello.stream,http://www.seattle.gov/trafficcams/airport_othello.htm,-122.3022,47.53744,"(47.53744, -122.30220)"
WSDOT,I-5 @ Mid Boeing Field,http://images.wsdot.wa.gov/nw/005vc15970.jpg,NULL,http://www.seattle.gov/trafficcams/i5_boeing.htm,-122.30024,47.53815,"(47.53815, -122.30024)"
SDOT,E Marginal Way S & S Michigan St,http://www.seattle.gov/trafficcams/images/EMarg_Mich.jpg,rtmp://156.74.125.146:1935/live&file=EMarg_Michigan.stream,NULL,-122.33137,47.545,"(47.54500, -122.33137)"
SDOT,4th Ave S & S Michigan St,http://www.seattle.gov/trafficcams/images/4_Michigan.jpg,rtmp://156.74.125.142:1935/live&file=4_Michigan.stream,http://www.seattle.gov/trafficcams/4th_Michigan.htm,-122.32968,47.54544,"(47.54544, -122.32968)"
WSDOT,SR-520 East Highrise,http://images.wsdot.wa.gov/nw/520vc00398.jpg,NULL,http://www.seattle.gov/trafficcams/sr520_midspaneast.htm,-122.33409,47.54612,"(47.54612, -122.33409)"
SDOT,Corson Ave S & S Bailey St,http://www.seattle.gov/trafficcams/images/Corson_Bailey.jpg,rtmp://156.74.125.146:1935/live&file=Corson_Bailey.stream,NULL,-122.3213,47.54742,"(47.54742, -122.32130)"
SDOT,1st Ave S & E Marginal Way,http://www.seattle.gov/trafficcams/images/1_EMarg.jpg,rtmp://156.74.125.142:1935/live&file=1_Marginal.stream,http://www.seattle.gov/trafficcams/1st_Marginal.htm,-122.33421,47.54833,"(47.54833, -122.33421)"
WSDOT,I-5 @ S Albro St,http://images.wsdot.wa.gov/nw/005vc16123.jpg,NULL,http://www.seattle.gov/trafficcams/i5_albro.htm,-122.31173,47.54856,"(47.54856, -122.31173)"
SDOT,Rainier Ave S & S Hudson St,http://www.seattle.gov/trafficcams/images/Rainier_Hudson.jpg,rtmp://156.74.125.146:1935/live&file=Rainier_Hudson.stream,NULL,-122.28468,47.55696,"(47.55696, -122.28468)"
SDOT,E Marginal Way S & S Hudson St,http://www.seattle.gov/trafficcams/images/EMarg_Hudson.jpg,rtmp://156.74.125.146:1935/live&file=EMarg_Hudson.stream,http://www.seattle.gov/trafficcams/Marginal_Hudson.htm,-122.33923,47.55746,"(47.55746, -122.33923)"
